物流点编号,节点名称,X坐标（km）,Y坐标（km）,区域类型
C0,初始物流中心,48,46,-
P01,北湖物流点,8,92,lake
P02,北城物流点,42,96,urban
P03,东北丘陵物流点,91,92,hill
P04,东部产业物流点,97,68,urban
P05,东南丘陵物流点,93,30,hill
P06,南山物流点,78,6,mountain
P07,南城物流点,43,5,urban
P08,西南山地物流点,8,12,mountain
P09,西部林区物流点,4,56,mountain
P10,西北丘陵物流点,22,74,hill
P11,中心北物流点,50,74,urban
P12,中心东物流点,68,52,urban
P13,中心南物流点,51,24,urban
P14,中心西物流点,27,45,urban
P15,湘江北岸物流点,66,86,lake
P16,东山口物流点,84,56,hill
P17,南岭口物流点,64,16,mountain
P18,西河口物流点,13,38,lake
P19,东北城郊物流点,78,76,urban
P20,西南丘陵物流点,28,20,hill
P21,中心城区西北物流点,43,55,urban
P22,中心城区东南物流点,57,40,urban
