编号,起点,终点,道路类型,长度(km)
R01,C0,P11,core_trunk,30.879999999999999
R02,C0,P12,core_trunk,22.969999999999999
R03,C0,P13,core_trunk,24.420000000000002
R04,C0,P14,core_trunk,23.129999999999999
R05,P11,P15,trunk,23.600000000000001
R06,P15,P02,trunk,31.719999999999999
R07,P15,P19,trunk,18.739999999999998
R08,P19,P03,hill_trunk,27.829999999999998
R09,P19,P04,trunk,24.329999999999998
R10,P12,P19,trunk,30.16
R11,P12,P16,hill_trunk,21.440000000000001
R12,P16,P04,hill_trunk,23
R13,P16,P05,hill_trunk,37.969999999999999
R14,P12,P05,trunk,41.289999999999999
R15,P13,P17,mountain_trunk,22.129999999999999
R16,P17,P06,mountain_trunk,26.670000000000002
R17,P13,P07,trunk,24.329999999999998
R18,P07,P06,mountain_trunk,52.520000000000003
R19,P13,P20,hill_trunk,30.350000000000001
R20,P20,P08,mountain_trunk,33.390000000000001
R21,P14,P20,hill_trunk,32.530000000000001
R22,P14,P18,lake_trunk,22.699999999999999
R23,P18,P09,mountain_trunk,33.210000000000001
R24,P18,P08,lake_trunk,39.710000000000001
R25,P14,P10,hill_trunk,38.259999999999998
R26,P10,P01,lake_trunk,34.210000000000001
R27,P10,P02,hill_trunk,39.25
R28,P02,P01,lake_trunk,48.609999999999999
R29,P11,P02,trunk,27.620000000000001
R30,P11,P19,trunk,32.280000000000001
R31,P13,P12,core_trunk,36.689999999999998
R32,P11,P14,core_trunk,41.460000000000001
R33,C0,P21,core_trunk,11.119999999999999
R34,C0,P22,core_trunk,11.68
R35,P21,P11,core_trunk,22.27
R36,P21,P14,core_trunk,20.75
R37,P22,P12,core_trunk,17.91
R38,P22,P13,core_trunk,18.800000000000001
R39,P21,P22,core_trunk,22.98
