需求点编号,X坐标(km),Y坐标(km),区域类型,无人车可达性,末端道路绕行系数,A类包裹数量,B类包裹数量,C类包裹数量,C类包裹时限(h)
D0001,39.740000000000002,87.349999999999994,urban,yes,1.0700000000000001,9,1,0,
D0002,80.150000000000006,83.980000000000004,hill,no,,7,0,0,
D0003,53.82,69.890000000000001,urban,yes,1.3500000000000001,8,0,0,
D0004,46.270000000000003,20.280000000000001,urban,yes,1.0800000000000001,5,2,0,
D0005,37.770000000000003,49.920000000000002,urban,yes,1.1000000000000001,10,1,0,
D0006,75.739999999999995,53.57,hill,yes,1.3899999999999999,5,0,0,
D0007,33.950000000000003,41.609999999999999,urban,yes,1.0800000000000001,6,0,0,
D0008,53.619999999999997,30.059999999999999,urban,yes,1.3200000000000001,6,0,0,
D0009,53.170000000000002,26.670000000000002,mountain,yes,1.9099999999999999,4,0,0,
D0010,85.260000000000005,83.310000000000002,hill,yes,1.6299999999999999,5,2,0,
D0011,45.780000000000001,1.03,urban,yes,1.1399999999999999,7,2,0,
D0012,22.57,38.039999999999999,urban,yes,1.3,3,0,0,
D0013,62.119999999999997,58.530000000000001,urban,yes,1.3300000000000001,9,2,0,
D0014,80.680000000000007,75.900000000000006,urban,yes,1.25,4,1,0,
D0015,74.239999999999995,53.969999999999999,hill,yes,1.3300000000000001,3,0,0,
D0016,26.629999999999999,50.990000000000002,urban,yes,1.0900000000000001,10,0,0,
D0017,26.5,68.670000000000002,hill,no,,4,0,0,
D0018,65.549999999999997,40.369999999999997,urban,yes,1.1799999999999999,5,0,0,
D0019,58.619999999999997,37.25,urban,yes,1.29,5,0,0,
D0020,58.340000000000003,85.019999999999996,lake,yes,1.49,7,0,0,
D0021,13.99,65.319999999999993,hill,yes,1.5600000000000001,5,0,0,
D0022,68.269999999999996,55.100000000000001,urban,yes,1.1499999999999999,5,0,0,
D0023,25.030000000000001,39.710000000000001,lake,no,,7,0,0,
D0024,42.759999999999998,99.310000000000002,urban,yes,1.28,5,0,0,
D0025,38.109999999999999,2.3799999999999999,urban,yes,1.1399999999999999,6,0,0,
D0026,71.359999999999999,44.07,urban,yes,1.29,5,1,0,
D0027,53.479999999999997,77.180000000000007,urban,yes,1.3,8,0,0,
D0028,24.199999999999999,44.670000000000002,urban,yes,1.26,5,1,0,
D0029,56.060000000000002,46.18,urban,yes,1.1899999999999999,9,0,0,
D0030,81.129999999999995,24.920000000000002,mountain,no,,8,0,0,
D0031,61.869999999999997,56.840000000000003,urban,yes,1.1399999999999999,9,0,0,
D0032,80.079999999999998,69.439999999999998,urban,yes,1.29,9,0,0,
D0033,14.17,55.039999999999999,mountain,no,,5,0,0,
D0034,81.840000000000003,20.859999999999999,hill,yes,1.6899999999999999,5,1,0,
D0035,47.719999999999999,2.5299999999999998,urban,yes,1.3300000000000001,6,1,0,
D0036,97.260000000000005,62.880000000000003,urban,yes,1.0800000000000001,6,0,0,
D0037,17.390000000000001,90.370000000000005,lake,yes,2,4,1,0,
D0038,82.060000000000002,79.900000000000006,urban,yes,1.1000000000000001,8,1,0,
D0039,50.079999999999998,70.939999999999998,urban,yes,1.3300000000000001,10,0,0,
D0040,89.469999999999999,84.049999999999997,hill,yes,1.3700000000000001,3,0,0,
D0041,40.359999999999999,5.9400000000000004,urban,yes,1.3300000000000001,8,1,0,
D0042,38.899999999999999,56.600000000000001,urban,yes,1.0700000000000001,5,1,0,
D0043,46.460000000000001,67.040000000000006,urban,no,,10,0,0,
D0044,75.040000000000006,52.899999999999999,urban,yes,1.3300000000000001,8,0,0,
D0045,98.540000000000006,75.870000000000005,urban,yes,1.1399999999999999,7,0,0,
D0046,25.129999999999999,42.689999999999998,urban,yes,1.3,6,1,0,
D0047,45.640000000000001,99.25,urban,yes,1.21,5,1,0,
D0048,4.04,30.640000000000001,lake,yes,1.74,5,0,0,
D0049,27.68,37.829999999999998,urban,yes,1.1399999999999999,6,0,0,
D0050,29.390000000000001,43.920000000000002,urban,yes,1.3200000000000001,6,0,0,
D0051,44.450000000000003,20.890000000000001,urban,yes,1.26,2,0,0,
D0052,91.780000000000001,64.790000000000006,urban,yes,1.3200000000000001,7,1,0,
