包裹编号,需求点编号,包裹类型,包裹重量(kg),服务物流点编号,主干车辆编号,包裹离开物流中心时刻(h),货物到达物流点时刻(h),无人机编号,运输无人机起飞时刻(h),本包裹送达时刻(h),运输无人机返回时刻(h),运输无人机总载重(kg),运输无人机总航程(km)
D0001-A001,D0001,A类,1,,,,,,,,,,
D0001-A002,D0001,A类,1,,,,,,,,,,
D0001-A003,D0001,A类,1,,,,,,,,,,
D0001-A004,D0001,A类,1,,,,,,,,,,
D0001-A005,D0001,A类,1,,,,,,,,,,
D0001-A006,D0001,A类,1,,,,,,,,,,
D0001-A007,D0001,A类,1,,,,,,,,,,
D0001-A008,D0001,A类,1,,,,,,,,,,
D0001-A009,D0001,A类,1,,,,,,,,,,
D0001-B001,D0001,B类,5,,,,,,,,,,
D0002-A001,D0002,A类,1,,,,,,,,,,
D0002-A002,D0002,A类,1,,,,,,,,,,
D0002-A003,D0002,A类,1,,,,,,,,,,
D0002-A004,D0002,A类,1,,,,,,,,,,
D0002-A005,D0002,A类,1,,,,,,,,,,
D0002-A006,D0002,A类,1,,,,,,,,,,
D0002-A007,D0002,A类,1,,,,,,,,,,
D0003-A001,D0003,A类,1,,,,,,,,,,
D0003-A002,D0003,A类,1,,,,,,,,,,
D0003-A003,D0003,A类,1,,,,,,,,,,
D0003-A004,D0003,A类,1,,,,,,,,,,
D0003-A005,D0003,A类,1,,,,,,,,,,
D0003-A006,D0003,A类,1,,,,,,,,,,
D0003-A007,D0003,A类,1,,,,,,,,,,
D0003-A008,D0003,A类,1,,,,,,,,,,
D0004-A001,D0004,A类,1,,,,,,,,,,
D0004-A002,D0004,A类,1,,,,,,,,,,
D0004-A003,D0004,A类,1,,,,,,,,,,
D0004-A004,D0004,A类,1,,,,,,,,,,
D0004-A005,D0004,A类,1,,,,,,,,,,
D0004-B001,D0004,B类,5,,,,,,,,,,
D0004-B002,D0004,B类,5,,,,,,,,,,
D0005-A001,D0005,A类,1,,,,,,,,,,
D0005-A002,D0005,A类,1,,,,,,,,,,
D0005-A003,D0005,A类,1,,,,,,,,,,
D0005-A004,D0005,A类,1,,,,,,,,,,
D0005-A005,D0005,A类,1,,,,,,,,,,
D0005-A006,D0005,A类,1,,,,,,,,,,
D0005-A007,D0005,A类,1,,,,,,,,,,
D0005-A008,D0005,A类,1,,,,,,,,,,
D0005-A009,D0005,A类,1,,,,,,,,,,
D0005-A010,D0005,A类,1,,,,,,,,,,
D0005-B001,D0005,B类,5,,,,,,,,,,
D0006-A001,D0006,A类,1,,,,,,,,,,
D0006-A002,D0006,A类,1,,,,,,,,,,
D0006-A003,D0006,A类,1,,,,,,,,,,
D0006-A004,D0006,A类,1,,,,,,,,,,
D0006-A005,D0006,A类,1,,,,,,,,,,
D0007-A001,D0007,A类,1,,,,,,,,,,
D0007-A002,D0007,A类,1,,,,,,,,,,
D0007-A003,D0007,A类,1,,,,,,,,,,
D0007-A004,D0007,A类,1,,,,,,,,,,
D0007-A005,D0007,A类,1,,,,,,,,,,
D0007-A006,D0007,A类,1,,,,,,,,,,
D0008-A001,D0008,A类,1,,,,,,,,,,
D0008-A002,D0008,A类,1,,,,,,,,,,
D0008-A003,D0008,A类,1,,,,,,,,,,
D0008-A004,D0008,A类,1,,,,,,,,,,
D0008-A005,D0008,A类,1,,,,,,,,,,
D0008-A006,D0008,A类,1,,,,,,,,,,
D0009-A001,D0009,A类,1,,,,,,,,,,
D0009-A002,D0009,A类,1,,,,,,,,,,
D0009-A003,D0009,A类,1,,,,,,,,,,
D0009-A004,D0009,A类,1,,,,,,,,,,
D0010-A001,D0010,A类,1,,,,,,,,,,
D0010-A002,D0010,A类,1,,,,,,,,,,
D0010-A003,D0010,A类,1,,,,,,,,,,
D0010-A004,D0010,A类,1,,,,,,,,,,
D0010-A005,D0010,A类,1,,,,,,,,,,
D0010-B001,D0010,B类,5,,,,,,,,,,
D0010-B002,D0010,B类,5,,,,,,,,,,
D0011-A001,D0011,A类,1,,,,,,,,,,
D0011-A002,D0011,A类,1,,,,,,,,,,
D0011-A003,D0011,A类,1,,,,,,,,,,
D0011-A004,D0011,A类,1,,,,,,,,,,
D0011-A005,D0011,A类,1,,,,,,,,,,
D0011-A006,D0011,A类,1,,,,,,,,,,
D0011-A007,D0011,A类,1,,,,,,,,,,
D0011-B001,D0011,B类,5,,,,,,,,,,
D0011-B002,D0011,B类,5,,,,,,,,,,
D0012-A001,D0012,A类,1,,,,,,,,,,
D0012-A002,D0012,A类,1,,,,,,,,,,
D0012-A003,D0012,A类,1,,,,,,,,,,
D0013-A001,D0013,A类,1,,,,,,,,,,
D0013-A002,D0013,A类,1,,,,,,,,,,
D0013-A003,D0013,A类,1,,,,,,,,,,
D0013-A004,D0013,A类,1,,,,,,,,,,
D0013-A005,D0013,A类,1,,,,,,,,,,
D0013-A006,D0013,A类,1,,,,,,,,,,
D0013-A007,D0013,A类,1,,,,,,,,,,
D0013-A008,D0013,A类,1,,,,,,,,,,
D0013-A009,D0013,A类,1,,,,,,,,,,
D0013-B001,D0013,B类,5,,,,,,,,,,
D0013-B002,D0013,B类,5,,,,,,,,,,
D0014-A001,D0014,A类,1,,,,,,,,,,
D0014-A002,D0014,A类,1,,,,,,,,,,
D0014-A003,D0014,A类,1,,,,,,,,,,
D0014-A004,D0014,A类,1,,,,,,,,,,
D0014-B001,D0014,B类,5,,,,,,,,,,
D0015-A001,D0015,A类,1,,,,,,,,,,
D0015-A002,D0015,A类,1,,,,,,,,,,
D0015-A003,D0015,A类,1,,,,,,,,,,
D0016-A001,D0016,A类,1,,,,,,,,,,
D0016-A002,D0016,A类,1,,,,,,,,,,
D0016-A003,D0016,A类,1,,,,,,,,,,
D0016-A004,D0016,A类,1,,,,,,,,,,
D0016-A005,D0016,A类,1,,,,,,,,,,
D0016-A006,D0016,A类,1,,,,,,,,,,
D0016-A007,D0016,A类,1,,,,,,,,,,
D0016-A008,D0016,A类,1,,,,,,,,,,
D0016-A009,D0016,A类,1,,,,,,,,,,
D0016-A010,D0016,A类,1,,,,,,,,,,
D0017-A001,D0017,A类,1,,,,,,,,,,
D0017-A002,D0017,A类,1,,,,,,,,,,
D0017-A003,D0017,A类,1,,,,,,,,,,
D0017-A004,D0017,A类,1,,,,,,,,,,
D0018-A001,D0018,A类,1,,,,,,,,,,
D0018-A002,D0018,A类,1,,,,,,,,,,
D0018-A003,D0018,A类,1,,,,,,,,,,
D0018-A004,D0018,A类,1,,,,,,,,,,
D0018-A005,D0018,A类,1,,,,,,,,,,
D0019-A001,D0019,A类,1,,,,,,,,,,
D0019-A002,D0019,A类,1,,,,,,,,,,
D0019-A003,D0019,A类,1,,,,,,,,,,
D0019-A004,D0019,A类,1,,,,,,,,,,
D0019-A005,D0019,A类,1,,,,,,,,,,
D0020-A001,D0020,A类,1,,,,,,,,,,
D0020-A002,D0020,A类,1,,,,,,,,,,
D0020-A003,D0020,A类,1,,,,,,,,,,
D0020-A004,D0020,A类,1,,,,,,,,,,
D0020-A005,D0020,A类,1,,,,,,,,,,
D0020-A006,D0020,A类,1,,,,,,,,,,
D0020-A007,D0020,A类,1,,,,,,,,,,
D0021-A001,D0021,A类,1,,,,,,,,,,
D0021-A002,D0021,A类,1,,,,,,,,,,
D0021-A003,D0021,A类,1,,,,,,,,,,
D0021-A004,D0021,A类,1,,,,,,,,,,
D0021-A005,D0021,A类,1,,,,,,,,,,
D0022-A001,D0022,A类,1,,,,,,,,,,
D0022-A002,D0022,A类,1,,,,,,,,,,
D0022-A003,D0022,A类,1,,,,,,,,,,
D0022-A004,D0022,A类,1,,,,,,,,,,
D0022-A005,D0022,A类,1,,,,,,,,,,
D0023-A001,D0023,A类,1,,,,,,,,,,
D0023-A002,D0023,A类,1,,,,,,,,,,
D0023-A003,D0023,A类,1,,,,,,,,,,
D0023-A004,D0023,A类,1,,,,,,,,,,
D0023-A005,D0023,A类,1,,,,,,,,,,
D0023-A006,D0023,A类,1,,,,,,,,,,
D0023-A007,D0023,A类,1,,,,,,,,,,
D0024-A001,D0024,A类,1,,,,,,,,,,
D0024-A002,D0024,A类,1,,,,,,,,,,
D0024-A003,D0024,A类,1,,,,,,,,,,
D0024-A004,D0024,A类,1,,,,,,,,,,
D0024-A005,D0024,A类,1,,,,,,,,,,
D0025-A001,D0025,A类,1,,,,,,,,,,
D0025-A002,D0025,A类,1,,,,,,,,,,
D0025-A003,D0025,A类,1,,,,,,,,,,
D0025-A004,D0025,A类,1,,,,,,,,,,
D0025-A005,D0025,A类,1,,,,,,,,,,
D0025-A006,D0025,A类,1,,,,,,,,,,
D0026-A001,D0026,A类,1,,,,,,,,,,
D0026-A002,D0026,A类,1,,,,,,,,,,
D0026-A003,D0026,A类,1,,,,,,,,,,
D0026-A004,D0026,A类,1,,,,,,,,,,
D0026-A005,D0026,A类,1,,,,,,,,,,
D0026-B001,D0026,B类,5,,,,,,,,,,
D0027-A001,D0027,A类,1,,,,,,,,,,
D0027-A002,D0027,A类,1,,,,,,,,,,
D0027-A003,D0027,A类,1,,,,,,,,,,
D0027-A004,D0027,A类,1,,,,,,,,,,
D0027-A005,D0027,A类,1,,,,,,,,,,
D0027-A006,D0027,A类,1,,,,,,,,,,
D0027-A007,D0027,A类,1,,,,,,,,,,
D0027-A008,D0027,A类,1,,,,,,,,,,
D0028-A001,D0028,A类,1,,,,,,,,,,
D0028-A002,D0028,A类,1,,,,,,,,,,
D0028-A003,D0028,A类,1,,,,,,,,,,
D0028-A004,D0028,A类,1,,,,,,,,,,
D0028-A005,D0028,A类,1,,,,,,,,,,
D0028-B001,D0028,B类,5,,,,,,,,,,
D0029-A001,D0029,A类,1,,,,,,,,,,
D0029-A002,D0029,A类,1,,,,,,,,,,
D0029-A003,D0029,A类,1,,,,,,,,,,
D0029-A004,D0029,A类,1,,,,,,,,,,
D0029-A005,D0029,A类,1,,,,,,,,,,
D0029-A006,D0029,A类,1,,,,,,,,,,
D0029-A007,D0029,A类,1,,,,,,,,,,
D0029-A008,D0029,A类,1,,,,,,,,,,
D0029-A009,D0029,A类,1,,,,,,,,,,
D0030-A001,D0030,A类,1,,,,,,,,,,
