附件1B：区域间输电通道月度监测数据,,,,,,
月份,通道编号,送端区域,受端区域,送端计量电量,受端计量电量,通道月度容量上限
2025-01,E01,A1,A2,0,0,1050
2025-01,E02,A3,A1,15.94777231314132,15.603902405343071,900
2025-01,E03,A4,A2,95.654900766061985,92.635243456896859,820
2025-01,E04,A2,A5,230.04576464710166,225.59290066011962,560
2025-01,E05,A4,A3,675.49935666416241,668.80477971200548,720
2025-01,E06,A3,A6,0,0,700
2025-01,E07,A4,A6,0,0,780
2025-01,E08,A5,A7,59.027636093431127,56.760417383953218,520
2025-01,E09,A5,A8,0,0,460
2025-01,E10,A6,A8,277.9569365331771,269.42624182244663,620
2025-01,E11,A8,A7,121.52138205132042,116.58201049429219,430
2025-02,E01,A1,A2,10.948866873828074,10.722599234586323,1050
2025-02,E02,A1,A3,0,0,900
2025-02,E03,A4,A2,155.8974881609189,152.62916104178223,820
2025-02,E04,A2,A5,123.20941919536871,119.63709816563872,560
2025-02,E05,A4,A3,582.55081716724999,565.82840856593361,720
2025-02,E06,A3,A6,0,0,700
2025-02,E07,A4,A6,0,0,780
2025-02,E08,A5,A7,0,0,520
2025-02,E09,A5,A8,0,0,460
2025-02,E10,A6,A8,264.26640493046881,257.78850938460255,620
2025-02,E11,A8,A7,144.69890840188097,140.12651424573679,430
2025-03,E01,A1,A2,14.657767223407953,14.369920585759258,1050
2025-03,E02,A1,A3,0,0,900
2025-03,E03,A4,A2,156.28861100287054,150.9304535693193,820
2025-03,E04,A2,A5,28.564321373843548,27.563319364743112,560
2025-03,E05,A4,A3,549.43290060763002,538.3387960465061,720
2025-03,E06,A3,A6,0,0,700
2025-03,E07,A4,A6,0,0,780
2025-03,E08,A5,A7,0,0,520
2025-03,E09,A5,A8,0,0,460
2025-03,E10,A6,A8,175.17452815314743,168.47242486008582,620
2025-03,E11,A8,A7,95.284498890166731,91.466824580641287,430
2025-04,E01,A1,A2,5.8242511870307396,5.6358668395055025,1050
2025-04,E02,A1,A3,0,0,900
2025-04,E03,A4,A2,132.02628904844252,129.12383042580663,820
2025-04,E04,A2,A5,0,0,560
2025-04,E05,A4,A3,540.54515122042324,531.22419577542632,720
2025-04,E06,A3,A6,0,0,700
2025-04,E07,A4,A6,0,0,780
2025-04,E08,A5,A7,57.093395054232076,54.927592777254731,520
2025-04,E09,A5,A8,0,0,460
2025-04,E10,A6,A8,58.280064517455365,56.242773410108541,620
2025-04,E11,A8,A7,3.0621787262085518,2.9247793374881366,430
2025-05,E01,A1,A2,0,0,1050
2025-05,E02,A3,A1,8.6413932118933587,8.4831022963130565,900
2025-05,E03,A4,A2,91.060675113553231,88.569464155050554,820
2025-05,E04,A5,A2,115.08899946128666,110.36987208370716,560
2025-05,E05,A4,A3,567.18266041049333,556.71439022992161,720
2025-05,E06,A3,A6,0,0,700
2025-05,E07,A4,A6,0,0,780
2025-05,E08,A5,A7,19.756925045248426,19.08105457616287,520
2025-05,E09,A5,A8,33.994573471959171,32.526984030070061,460
2025-05,E10,A6,A8,0,0,620
2025-05,E11,A7,A8,0,0,430
2025-06,E01,A1,A2,0,0,1050
2025-06,E02,A3,A1,11.27329307144867,11.144684539485121,900
2025-06,E03,A4,A2,85.855839449829219,84.123488230694306,820
2025-06,E04,A5,A2,164.20814246303709,160.68813845963933,560
2025-06,E05,A4,A3,608.32669751742026,587.78177230643939,720
2025-06,E06,A3,A6,0,0,700
2025-06,E07,A4,A6,0,0,780
2025-06,E08,A5,A7,11.706543508751263,11.317677700068094,520
2025-06,E09,A5,A8,31.442528133069281,29.944107594942508,460
2025-06,E10,A6,A8,0,0,620
2025-06,E11,A7,A8,0,0,430
2025-07,E01,A2,A1,70.157398758917125,68.566817628330426,1050
2025-07,E02,A1,A3,0,0,900
2025-07,E03,A4,A2,135.34476153712075,132.566236124981,820
2025-07,E04,A5,A2,69.900516386453674,67.934771305737883,560
2025-07,E05,A4,A3,636.69894525527218,623.61435846046857,720
2025-07,E06,A6,A3,71.607656828992276,69.384086880588583,700
2025-07,E07,A4,A6,0,0,780
2025-07,E08,A5,A7,44.846404841182711,43.634032215602531,520
2025-07,E09,A5,A8,61.689775670795441,59.403145991260089,460
2025-07,E10,A6,A8,0,0,620
2025-07,E11,A7,A8,0,0,430
2025-08,E01,A2,A1,87.093453081263235,85.826877578336592,1050
2025-08,E02,A1,A3,0,0,900
2025-08,E03,A4,A2,191.12742004073101,157.63587601160657,820
2025-08,E04,A2,A5,0,0,560
2025-08,E05,A4,A3,652.49249952466585,641.93405265250999,720
2025-08,E06,A6,A3,118.40478386283806,114.08573032224663,700
2025-08,E07,A4,A6,0,0,780
2025-08,E08,A5,A7,87.530342365575677,84.483540115967841,520
2025-08,E09,A5,A8,13.097723962634753,12.591322178120631,460
2025-08,E10,A6,A8,83.974029980582372,82.217600704878492,620
2025-08,E11,A7,A8,0,0,430
2025-09,E01,A1,A2,0,0,1050
2025-09,E02,A3,A1,20.700655921103785,20.453041932542419,900
2025-09,E03,A4,A2,65.857655163312913,63.956355778623866,820
2025-09,E04,A2,A5,0,0,560
2025-09,E05,A4,A3,657.20927444339623,641.21626749896666,720
2025-09,E06,A3,A6,0,0,700
2025-09,E07,A4,A6,0,0,780
2025-09,E08,A5,A7,45.154520360152347,43.847477596347616,520
2025-09,E09,A5,A8,0,0,460
2025-09,E10,A6,A8,127.88327970630553,122.54955312766312,620
2025-09,E11,A8,A7,40.179032408892972,38.450961776259824,430
2025-10,E01,A1,A2,0,0,1050
2025-10,E02,A3,A1,10.282781961584682,10.144946542096253,900
2025-10,E03,A4,A2,89.604411472303028,87.651450748198599,820
2025-10,E04,A2,A5,19.685241794348915,18.994451209498148,560
2025-10,E05,A4,A3,580.59560505284549,565.01358784503179,720
2025-10,E06,A3,A6,0,0,700
2025-10,E07,A4,A6,0,0,780
2025-10,E08,A5,A7,0,0,520
2025-10,E09,A5,A8,0,0,460
2025-10,E10,A6,A8,189.45909185829646,184.11608582195154,620
