附件2B：变电站与重点企业辅助监测数据,,,,,
,,,,,
监测点编号,区域,指标,数值,单位,年份
T-A1-1,A1,变电站入口电量,5086.1950511100449,GWh,2025
T-A1-2,A1,变电站入口电量,4377.2890418739853,GWh,2025
T-A1-3,A1,变电站入口电量,3171.2704911584065,GWh,2025
K-A1-01,A1,重点企业用电,1906.1630797812222,GWh,2025
T-A2-1,A2,变电站入口电量,3549.7912917630529,GWh,2025
T-A2-2,A2,变电站入口电量,3051.8308757373857,GWh,2025
T-A2-3,A2,变电站入口电量,2229.437577117521,GWh,2025
K-A2-01,A2,重点企业用电,2460.2122831364709,GWh,2025
T-A3-1,A3,变电站入口电量,3071.5172624606257,GWh,2025
T-A3-2,A3,变电站入口电量,2616.0991990024504,GWh,2025
T-A3-3,A3,变电站入口电量,1891.7002447406528,GWh,2025
K-A3-01,A3,重点企业用电,903.43940255978805,GWh,2025
T-A4-1,A4,变电站入口电量,4084.2245656272826,GWh,2025
T-A4-2,A4,变电站入口电量,3442.2001940968612,GWh,2025
T-A4-3,A4,变电站入口电量,2518.5920894086325,GWh,2025
K-A4-01,A4,重点企业用电,3391.7637063053971,GWh,2025
T-A5-1,A5,变电站入口电量,1797.0800533031104,GWh,2025
T-A5-2,A5,变电站入口电量,1514.0049605521701,GWh,2025
T-A5-3,A5,变电站入口电量,1098.3473265376524,GWh,2025
K-A5-01,A5,重点企业用电,662.08840886630469,GWh,2025
T-A6-1,A6,变电站入口电量,2612.8910166978071,GWh,2025
T-A6-2,A6,变电站入口电量,2210.6221836334844,GWh,2025
T-A6-3,A6,变电站入口电量,1602.4373964762165,GWh,2025
K-A6-01,A6,重点企业用电,1429.9984062482913,GWh,2025
T-A7-1,A7,变电站入口电量,1294.5134442345272,GWh,2025
T-A7-2,A7,变电站入口电量,1107.55177804715,GWh,2025
T-A7-3,A7,变电站入口电量,801.89337132991307,GWh,2025
K-A7-01,A7,重点企业用电,399.71136629475689,GWh,2025
T-A8-1,A8,变电站入口电量,1561.0742882281422,GWh,2025
T-A8-2,A8,变电站入口电量,1341.8143679065363,GWh,2025
T-A8-3,A8,变电站入口电量,974.41747954130005,GWh,2025
K-A8-01,A8,重点企业用电,966.99455701669149,GWh,2025
,,,,,
,,,,,
通道编号,连接区域1,连接区域2,年度送端汇总,年度受端汇总,工程记录线损率
E01,A1,A2,264.49048709837786,260.57616843667159,0.021000000000000001
E02,A1,A3,66.921915792947743,65.655030373183138,0.017999999999999999
E03,A2,A4,1581.239804032175,1534.2405946176905,0.025000000000000001
E04,A2,A5,904.51132299934181,880.46144446191624,0.032000000000000001
E05,A3,A4,7077.7507141239339,6867.9593120783893,0.02
E06,A3,A6,189.81374726670251,185.8908357696711,0.024
E07,A4,A6,0,0,0.027
E08,A5,A7,323.45690370624186,314.36849196158624,0.035000000000000003
E09,A5,A8,139.73230348174349,134.21373245901194,0.041000000000000002
E10,A6,A8,1559.5934781363542,1563.7765224149457,0.029999999999999999
E11,A7,A8,736.9673724143986,718.70479730811087,0.037999999999999999
