附件6B：省外输入电力碳排放因子典型情景,,,,,,,,,,,
情景编号,情景名称,年份,A1,A2,A3,A4,A5,A6,A7,A8,情景解释
S0,基准情景,2028,1,1,1,1,1,1,1,1,送端电源结构按问题三设定的基准路径演化
S0,基准情景,2029,1,1,1,1,1,1,1,1,送端电源结构按问题三设定的基准路径演化
S0,基准情景,2030,1,1,1,1,1,1,1,1,送端电源结构按问题三设定的基准路径演化
S1,低碳送端情景,2028,0.98499999999999999,0.98199999999999998,0.98799999999999999,0.97999999999999998,0.98999999999999999,0.98499999999999999,0.98999999999999999,0.98699999999999999,各区域送端碳因子接近当年区间下界，用于观察有利情形
S1,低碳送端情景,2029,0.97799999999999998,0.97499999999999998,0.98199999999999998,0.96999999999999997,0.98499999999999999,0.97799999999999998,0.98499999999999999,0.97999999999999998,各区域送端碳因子接近当年区间下界，用于观察有利情形
S1,低碳送端情景,2030,0.97199999999999998,0.96799999999999997,0.97799999999999998,0.96499999999999997,0.97999999999999998,0.97199999999999998,0.97999999999999998,0.97499999999999998,各区域送端碳因子接近当年区间下界，用于观察有利情形
S2,阶段性偏高情景,2028,1.0075000000000001,1.01,1,1.0125,1,1.0089999999999999,1,1,若干重点受电区域出现中等程度的同步上行偏离
S2,阶段性偏高情景,2029,1.0125,1.0149999999999999,1,1.0175000000000001,1,1.0125,1,1.01,若干重点受电区域出现中等程度的同步上行偏离
S2,阶段性偏高情景,2030,1.0149999999999999,1.0175000000000001,1.0125,1.02,1,1.0149999999999999,1,1.0125,若干重点受电区域出现中等程度的同步上行偏离
S3,关键送端高碳情景,2028,1,1.02,1,1.0249999999999999,1,1,1,1,高碳影响较大的关键受电区域同时接近不利上界，用于压力测试
S3,关键送端高碳情景,2029,1.0125,1.03,1,1.0349999999999999,1,1,1,1,高碳影响较大的关键受电区域同时接近不利上界，用于压力测试
S3,关键送端高碳情景,2030,1.03,1.0349999999999999,1,1.04,1,1,1,1,高碳影响较大的关键受电区域同时接近不利上界，用于压力测试
,,,,,,,,,,,
说明：典型情景不赋予固定概率；S2、S3按附件6A的不确定区间与 Γ_t 构造。参赛者如需概率分析，可自行设定并说明依据。,,,,,,,,,,,
