类型,设定,参数值,可行,目标_百万元,投资_百万元,Jaccard,入选项目数,预算超额合计_kt,缺供合计_GWh
折现率,折现率 0%(主方案),0.0,True,1923.0,985.5,1.0,7,4568.4,0.0
折现率,折现率 8%,0.08,True,1862.2,986.3,0.696,7,4606.7,0.0
区域预算罚,区域预算罚 0.1,0.1,True,1463.0,976.7,0.9,6,4625.2,0.0
区域预算罚,区域预算罚 0.2(主方案),0.2,True,1923.0,985.5,1.0,7,4568.4,0.0
区域预算罚,区域预算罚 0.4,0.4,True,2826.2,1013.4,0.652,9,4472.5,0.0
VOLL,缺供罚 VOLL=5,5.0,True,1923.0,985.5,1.0,7,4568.4,0.0
VOLL,缺供罚 VOLL=10(主方案),10.0,True,1923.0,985.5,1.0,7,4568.4,0.0
VOLL,缺供罚 VOLL=20,20.0,True,1923.0,985.5,1.0,7,4568.4,0.0
惯性权重w,惯性权重全期 0.50,0.5,True,2824.3,985.5,1.0,7,9075.2,0.0
惯性权重w,惯性权重 0.85→0.65(主方案),0.65,True,1923.0,985.5,1.0,7,4568.4,0.0
惯性权重w,惯性权重全期 0.85,0.85,True,1678.5,998.7,0.81,7,3280.3,0.0
