项目,开工年,规模
P04,2026,5.0
P04,2027,5.0
P08,2026,5.0
P08,2027,5.0
P10,2027,19.0
P12,2026,6.0
P12,2027,6.0
P13,2027,1.46
P14,2026,10.403
P14,2027,4.333
P15,2026,4.0
P15,2027,4.0
P16,2026,5.0
P16,2027,5.0
P19,2026,0.5
P19,2027,0.5
P23,2026,4.0
P23,2027,4.0
P24,2026,4.714
P24,2027,4.714
P31,2026,4.0
P31,2027,4.0
P02,2028,4.333
P04,2028,5.0
P08,2028,5.0
P10,2028,19.0
P12,2028,6.0
P15,2028,4.0
P16,2028,5.0
P19,2028,0.5
P23,2028,4.0
P24,2028,4.714
P31,2028,4.0
P04,2029,5.0
P07,2029,0.5
P08,2029,5.0
P12,2029,6.0
P15,2029,4.0
P16,2029,5.0
P23,2029,4.0
P24,2029,3.029
P31,2029,4.0
