表,位置,字段,观测值,校正值,标准化调整
1B,2025-08/E03,送端电量,191.127,175.282,-3.316
1B,2025-08/E03,受端电量,157.636,168.34,2.716
1A,2025-06/A5,水电发电量,568.224,545.716,-1.981
2A,A1,省外输入电量,10314.598,10561.706,1.597
1A,2025-03/A6,省外输入电量,623.485,604.959,-1.486
2A,A4,省外输入电量,12611.462,12888.854,1.466
2B,E05,年度受端汇总,6867.959,7008.739,1.367
1A,2025-11/A4,省外输入电量,914.326,933.579,1.053
2A,A5,终端用电量,5298.241,5216.378,-1.03
1B,2025-11/E05,受端电量,499.889,512.75,1.029
2A,A6,省外输入电量,6765.192,6867.569,1.009
1A,2025-12/A4,省外输入电量,965.617,984.846,0.996
1A,2025-05/A5,水电发电量,496.077,505.918,0.992
1A,2025-06/A4,省外输入电量,1052.739,1073.317,0.977
1A,2025-02/A4,省外输入电量,1029.346,1049.177,0.963
2B,E10,年度受端汇总,1563.777,1541.489,-0.95
2A,A5,本地发电量,5534.345,5611.28,0.927
2B,E10,年度送端汇总,1559.593,1581.266,0.926
1A,2025-08/A6,省外输入电量,738.559,751.905,0.904
1A,2025-10/A6,省外输入电量,577.497,587.787,0.891
1A,2025-07/A4,省外输入电量,1186.651,1207.522,0.879
1A,2025-02/A6,省外输入电量,662.711,674.133,0.862
1A,2025-08/A4,省外输入电量,1292.432,1314.247,0.844
1A,2025-12/A6,省外输入电量,587.923,597.729,0.834
1A,2025-11/A5,水电发电量,249.378,253.472,0.821
1A,2025-09/A4,省外输入电量,1111.89,1130.066,0.817
1A,2025-10/A5,水电发电量,309.266,314.254,0.806
1A,2025-04/A4,省外输入电量,974.641,990.284,0.802
1A,2025-03/A5,水电发电量,290.328,294.896,0.787
2A,A3,本地发电量,1985.381,2008.557,0.778
1B,2025-03/E10,受端电量,168.472,171.734,0.774
1A,2025-05/A7,水电发电量,198.405,201.474,0.773
1A,2025-01/A6,省外输入电量,742.052,753.426,0.766
1A,2025-09/A6,省外输入电量,565.075,573.733,0.766
1A,2025-11/A3,终端用电合计,672.2,664.527,-0.761
1A,2025-08/A7,水电发电量,215.507,218.766,0.756
1A,2025-04/A5,水电发电量,377.868,383.54,0.751
1A,2025-06/A7,水电发电量,225.282,228.635,0.744
1A,2025-11/A3,建筑服务用电,263.745,259.826,-0.743
2A,A4,终端用电量,12076.126,11941.462,-0.743
2A,A4,本地发电量,7918.125,8004.788,0.73
1A,2025-01/A4,省外输入电量,1151.683,1168.472,0.729
1A,2025-10/A4,省外输入电量,1004.75,1019.323,0.725
2B,E04,年度送端汇总,904.511,914.34,0.724
1A,2025-08/A5,水电发电量,544.136,551.971,0.72
1A,2025-06/A6,省外输入电量,405.631,411.426,0.714
1A,2025-03/A4,省外输入电量,995.325,1009.339,0.704
1A,2025-04/A1,省外输入电量,802.16,813.417,0.702
1A,2025-09/A1,省外输入电量,898.954,911.53,0.699
1A,2025-12/A4,火电发电量,655.364,664.498,0.697
1A,2025-11/A6,省外输入电量,511.259,518.379,0.696
1A,2025-06/A1,省外输入电量,869.613,881.709,0.696
1A,2025-07/A7,水电发电量,234.961,238.206,0.691
1B,2025-11/E05,送端电量,509.341,518.118,0.689
1A,2025-07/A6,省外输入电量,566.267,574.063,0.688
1A,2025-04/A6,省外输入电量,428.007,433.886,0.687
1A,2025-09/A5,水电发电量,417.358,423.019,0.678
1A,2025-11/A1,省外输入电量,749.616,759.686,0.672
1A,2025-11/A4,火电发电量,559.827,567.246,0.663
1A,2025-05/A1,省外输入电量,821.431,832.323,0.663
1A,2025-03/A2,火电发电量,407.048,412.395,0.657
1A,2025-05/A6,省外输入电量,381.242,386.143,0.643
2A,A2,本地发电量,5890.306,5945.569,0.625
2B,E11,年度受端汇总,718.705,712.139,-0.609
2A,A2,工业用电量,5874.905,5821.352,-0.608
1A,2025-02/A4,火电发电量,613.348,620.631,0.594
1A,2025-12/A5,水电发电量,207.761,210.221,0.592
1A,2025-02/A5,水电发电量,231.615,234.351,0.591
1A,2025-02/A1,省外输入电量,862.28,872.406,0.587
1A,2025-07/A8,水电发电量,179.718,181.822,0.585
1A,2025-12/A1,省外输入电量,802.363,811.708,0.582
2A,A8,本地发电量,3716.532,3748.705,0.577
1A,2025-09/A7,水电发电量,167.33,169.255,0.575
1A,2025-03/A1,省外输入电量,817.981,827.306,0.57
1A,2025-11/A3,居民用电,201.689,199.397,-0.568
1A,2025-01/A1,省外输入电量,957.104,967.695,0.553
2A,A5,工业用电量,1582.541,1569.431,-0.552
1A,2025-11/A2,火电发电量,401.104,405.525,0.551
1A,2025-10/A1,省外输入电量,833.192,842.376,0.551
1A,2025-04/A2,火电发电量,379.437,383.619,0.551
1A,2025-02/A2,火电发电量,435.194,439.927,0.544
1A,2025-01/A5,水电发电量,230.799,233.198,0.52
1A,2025-06/A4,火电发电量,535.682,541.195,0.515
1A,2025-07/A5,水电发电量,590.304,596.386,0.515
2B,E04,年度受端汇总,880.461,887.225,0.512
2A,A1,终端用电量,15126.91,15010.645,-0.512
1A,2025-05/A2,火电发电量,365.829,369.56,0.51
1B,2025-06/E05,受端电量,587.782,595.252,0.508
1A,2025-08/A1,省外输入电量,1056.174,1066.852,0.505
2A,A7,终端用电量,3838.379,3809.561,-0.501
1A,2025-01/A2,省外输入电量,571.428,577.157,0.501
1A,2025-05/A8,水电发电量,155.473,157.028,0.5
1A,2025-06/A2,火电发电量,384.087,387.916,0.499
1B,2025-02/E05,受端电量,565.828,572.869,0.498
1A,2025-10/A7,水电发电量,125.837,127.07,0.49
1A,2025-12/A2,火电发电量,464.432,468.961,0.488
1B,2025-06/E04,送端电量,164.208,166.186,0.482
1A,2025-07/A4,火电发电量,617.76,623.662,0.478
1A,2025-11/A8,火电发电量,127.185,128.371,0.466
2B,E03,年度受端汇总,1534.241,1544.909,0.464
1A,2025-06/A5,终端用电合计,431.489,434.495,0.464
1A,2025-04/A4,火电发电量,538.309,543.268,0.461
1A,2025-07/A8,火电发电量,139.865,141.139,0.456
1A,2025-07/A8,工业用电,217.015,215.04,-0.455
1A,2025-03/A7,水电发电量,116.035,117.091,0.455
1A,2025-12/A8,火电发电量,150.001,151.358,0.453
1B,2025-10/E11,受端电量,94.051,95.114,0.452
1A,2025-08/A4,火电发电量,652.377,658.209,0.447
1B,2025-11/E10,受端电量,165.412,167.251,0.445
1A,2025-08/A8,水电发电量,170.218,171.732,0.445
1B,2025-05/E05,受端电量,556.714,562.884,0.443
1A,2025-03/A2,工业用电,475.154,470.958,-0.442
1A,2025-07/A8,终端用电合计,435.877,432.99,-0.442
1A,2025-06/A5,居民用电,210.483,212.331,0.439
2A,A3,终端用电量,9093.739,9034.056,-0.438
1A,2025-09/A4,火电发电量,567.822,572.77,0.436
1A,2025-07/A2,火电发电量,439.174,442.995,0.435
1A,2025-11/A7,水电发电量,100.478,101.345,0.431
1B,2025-09/E10,受端电量,122.55,123.865,0.429
1B,2025-08/E06,受端电量,114.086,115.308,0.428
1A,2025-01/A4,火电发电量,643.53,649.038,0.428
1A,2025-02/A8,火电发电量,139.813,141.009,0.428
1A,2025-03/A4,火电发电量,572.162,577.004,0.423
1A,2025-11/A3,工业用电,155.442,154.128,-0.423
1A,2025-03/A2,终端用电合计,824.099,818.911,-0.42
1A,2025-01/A7,终端用电合计,356.646,354.402,-0.419
1A,2025-01/A7,居民用电,172.012,170.569,-0.419
2A,A2,省外输入电量,3355.614,3376.382,0.413
1A,2025-01/A2,火电发电量,455.896,459.635,0.41
1A,2025-06/A8,水电发电量,175.714,177.144,0.407
1A,2025-10/A4,火电发电量,538.076,542.441,0.406
1B,2025-12/E10,受端电量,222.746,224.99,0.403
1B,2025-05/E04,送端电量,115.089,113.933,-0.402
1A,2025-08/A8,工业用电,232.374,230.526,-0.398
1A,2025-08/A2,火电发电量,469.937,473.659,0.396
2A,A6,本地发电量,2726.896,2710.745,-0.395
1A,2025-02/A2,省外输入电量,318.607,321.098,0.391
1A,2025-08/A8,火电发电量,149.686,150.857,0.391
1B,2025-10/E05,受端电量,565.014,570.528,0.39
1A,2025-04/A2,工业用电,465.505,461.886,-0.389
1A,2025-11/A8,终端用电合计,332.795,330.858,-0.388
1A,2025-09/A8,工业用电,206.006,204.409,-0.387
1A,2025-09/A8,火电发电量,131.149,132.162,0.386
1A,2025-08/A8,终端用电合计,467.919,465.227,-0.384
2A,A4,工业用电量,8067.34,8021.014,-0.383
1A,2025-08/A7,终端用电合计,385.266,383.066,-0.381
1A,2025-08/A7,居民用电,178.999,177.639,-0.38
1A,2025-11/A8,工业用电,164.788,163.538,-0.379
1A,2025-09/A8,水电发电量,128.524,129.497,0.379
1A,2025-02/A8,工业用电,192.72,191.261,-0.378
1A,2025-09/A8,终端用电合计,400.09,397.828,-0.377
1A,2025-02/A8,终端用电合计,388.457,386.267,-0.376
1A,2025-05/A8,火电发电量,116.867,117.745,0.376
1A,2025-03/A6,工业用电,268.836,270.857,0.376
1A,2025-05/A2,工业用电,458.873,455.444,-0.374
1A,2025-04/A8,火电发电量,123.12,124.036,0.372
