类型,位置,字段,说明,严重度
平衡残差超限,2025-09/A2,能量平衡,"残差 507.0 GWh, z=32.5",32.5048
损耗率偏高,2025-08/E03,隐含损耗率,隐含 0.175 vs 工程 0.025,7.0093
平衡残差超限,2025-04/A7,能量平衡,"残差 -48.1 GWh, z=-5.4",5.3894
缺失,2025-09/A2,终端用电合计,监测值为空,1.0
缺失,2025-04/A7,风电发电量,监测值为空,1.0
缺失,2025-05/A4,水电发电量,监测值为空,1.0
缺失,2025-09/A2,工业用电,监测值为空,1.0
两套系统矛盾,A2,月度Σ工业用电 vs 年度工业用电量,"月度Σ=5363.3, 年度=5874.9, 偏差 8.71%",0.0871
两套系统矛盾,A2,月度Σ终端用电合计 vs 年度终端用电量,"月度Σ=9584.8, 年度=10431.2, 偏差 8.11%",0.0811
两套系统矛盾,A7,月度Σ本地发电量 vs 年度本地发电量,"月度Σ=2763.4, 年度=2827.9, 偏差 2.28%",0.0228
两套系统矛盾,E10,受端年度汇总,"月度Σ=1529.0, 2B=1563.8, 偏差 2.23%",0.0223
两套系统矛盾,E11,受端年度汇总,"月度Σ=707.5, 2B=718.7, 偏差 1.56%",0.0156
两套系统矛盾,E03,送端年度汇总,"月度Σ=1603.7, 2B=1581.2, 偏差 1.42%",0.0142
两套系统矛盾,E06,受端年度汇总,"月度Σ=183.5, 2B=185.9, 偏差 1.30%",0.013
两套系统矛盾,A5,月度Σ终端用电合计 vs 年度终端用电量,"月度Σ=5231.4, 年度=5298.2, 偏差 1.26%",0.0126
两套系统矛盾,E10,送端年度汇总,"月度Σ=1578.9, 2B=1559.6, 偏差 1.24%",0.0124
两套系统矛盾,A1,月度Σ省外输入电量 vs 年度省外输入电量,"月度Σ=10441.3, 年度=10314.6, 偏差 1.23%",0.0123
两套系统矛盾,E05,受端年度汇总,"月度Σ=6949.9, 2B=6868.0, 偏差 1.19%",0.0119
两套系统矛盾,A1,月度Σ本地发电量 vs 年度本地发电量,"月度Σ=4550.0, 年度=4598.4, 偏差 1.05%",0.0105
两套系统矛盾,E04,送端年度汇总,"月度Σ=914.0, 2B=904.5, 偏差 1.04%",0.0104
两套系统矛盾,E04,受端年度汇总,"月度Σ=887.6, 2B=880.5, 偏差 0.81%",0.0081
两套系统矛盾,E08,送端年度汇总,"月度Σ=325.1, 2B=323.5, 偏差 0.51%",0.0051
受端>送端,E10,2B年度汇总,送 1559.6 < 受 1563.8,0.0027
