污染场景,来源表,观测,原值,污染值,相对污染幅度,方法,状态归一化RMSE,区域年度用电最大相对变化,线损率最大绝对变化,WLS相对Huber状态RMSE倍数
月度火电+20%,1A,2025-01/A1/火电发电量,350.216531,420.259838,0.2,HUBER,0.0594099525,0.0003306558,1.85103e-05,1.0093331398
月度火电+20%,1A,2025-01/A1/火电发电量,350.216531,420.259838,0.2,WLS,0.0599644339,0.0003403136,1.87667e-05,1.0093331398
月度省外输入+20%,1A,2025-11/A4/省外输入电量,914.32564,1097.190768,0.2,HUBER,0.1034784644,0.0007689189,0.0001705684,1.2242683576
月度省外输入+20%,1A,2025-11/A4/省外输入电量,914.32564,1097.190768,0.2,WLS,0.1266854096,0.000870845,0.0002048236,1.2242683576
月度建筑服务用电-20%,1A,2025-06/A5/建筑服务用电,71.532364,57.225891,-0.2,HUBER,0.0056867412,0.0016408051,1.7648e-06,1.0982089383
月度建筑服务用电-20%,1A,2025-06/A5/建筑服务用电,71.532364,57.225891,-0.2,WLS,0.00624523,0.0015555848,3.27797e-05,1.0982089383
月度送端计量+20%,1B,2025-09/E10/送端计量电量,127.88328,153.459936,0.2,HUBER,0.0319807874,0.0001646084,0.001144922,0.9994648141
月度送端计量+20%,1B,2025-09/E10/送端计量电量,127.88328,153.459936,0.2,WLS,0.0319636718,0.0001808569,0.0011407908,0.9994648141
月度受端计量-20%,1B,2025-08/E03/受端计量电量,157.635876,126.108701,-0.2,HUBER,0.0315765886,0.0004221666,0.0033295038,0.9688093916
月度受端计量-20%,1B,2025-08/E03/受端计量电量,157.635876,126.108701,-0.2,WLS,0.0305916956,0.0003714298,0.0052751839,0.9688093916
年度终端用电+15%,2A,A5/年度终端用电量,5298.241026,6092.97718,0.15,HUBER,0.0005618869,0.0001174176,1.2142e-06,26.8040922042
年度终端用电+15%,2A,A5/年度终端用电量,5298.241026,6092.97718,0.15,WLS,0.0150608671,0.0031316002,3.75117e-05,26.8040922042
