样本,区域,年度终端碳强度,扩展生产责任P+_kt,消费责任全口径C+_kt
1,A1,0.5857250253644145,8931.031526788094,9002.976088594247
1,A2,0.6155881100152432,5947.521100166918,6556.747716644228
1,A3,0.5949025750922293,1014.8124896379107,5451.526428174297
1,A4,0.6236347666842769,13102.778091130933,7752.616396604869
1,A5,0.15187782749521359,539.8974807636959,814.9108688484997
1,A6,0.5017530728623263,4856.566581892692,3988.382026278642
1,A7,0.1737614481693834,308.4575190339592,672.6895382761893
1,A8,0.39166350971042896,1394.7616125972536,1855.9773385904857
2,A1,0.5853512113676042,8967.31821145497,9035.961143686809
2,A2,0.6152037084608061,5932.115290401184,6551.139386319601
2,A3,0.5966948952071065,1027.0620746780162,5463.636154076049
2,A4,0.6240739305740622,13144.661797532019,7784.052587153776
2,A5,0.15090854106338944,537.3967334693102,816.4216120082631
2,A6,0.5003335827880326,4831.279664209704,3960.7506708264555
2,A7,0.17297396338515175,306.7084760834542,671.6875256179851
2,A8,0.39321501960405186,1404.0791188160924,1866.9722869558104
3,A1,0.5855498419786647,8945.339432873601,9012.810649805093
3,A2,0.615098138802883,5946.869175229136,6561.301871988226
3,A3,0.5946901947894054,1021.1078656334872,5462.016278427607
3,A4,0.623817373533624,13159.197283141679,7801.566205659774
3,A5,0.15236332344401887,535.7018218058163,812.9714902685256
3,A6,0.5022998593966069,4846.685081253223,3970.2187728421186
3,A7,0.17423591154758206,310.36423561991893,680.654489680971
3,A8,0.39481800072459133,1411.609622351405,1875.3347592359492
4,A1,0.586288346315912,8962.31264256228,9029.323954354948
4,A2,0.6166453845874768,5946.518758697784,6555.647706146177
4,A3,0.5961525639501574,1027.6183823194426,5468.081903774599
4,A4,0.624323741677431,13118.644102834423,7761.008795357104
4,A5,0.1534912211661983,538.1546376675982,820.3787511143966
4,A6,0.5012032796407263,4865.89866155388,3986.520421968669
4,A7,0.1737455791409816,307.00486467661176,672.2977702512278
4,A8,0.39255423088170766,1396.9323119210824,1869.825059265977
5,A1,0.585694740755041,8940.829480152606,9010.96127927327
5,A2,0.6163681150651202,5959.459066871024,6559.026221231864
5,A3,0.5953020439010871,1025.7566514165853,5475.720870568984
5,A4,0.6237614697552265,13190.711986131975,7830.983768161046
5,A5,0.15295475983429113,540.9735606767244,823.5945019718537
5,A6,0.5005806906355948,4799.710453407648,3932.2179476584065
5,A7,0.17485815494946483,312.84759756671025,676.5981158491503
5,A8,0.3913344539725545,1401.263592955828,1862.4496844645291
6,A1,0.585608342585992,8911.671881219409,8980.162672564347
6,A2,0.6152305264481667,5953.353203795799,6566.791965236404
6,A3,0.5952034831733326,1012.65114986399,5464.562276951031
6,A4,0.6245905326406773,13139.966010752836,7767.919031903105
6,A5,0.15102313370974366,536.2086245018525,815.2859375479384
6,A6,0.5008719901277823,4839.901329760711,3970.5176910040122
6,A7,0.17351386524057977,306.68405595970415,671.4606199141233
6,A8,0.39179504759146194,1397.5933265502895,1861.329387283625
7,A1,0.5850276071277426,8923.64467445479,8990.857340638633
7,A2,0.6158047971441003,5963.127525560284,6580.127967239768
7,A3,0.5959312239117895,1024.8426043143295,5452.034930815127
7,A4,0.6244854304241817,13187.078563041006,7846.545785483853
7,A5,0.15164878440847904,540.600440198044,812.8205874410139
7,A6,0.5013392698188535,4827.1259263435095,3950.34840541708
7,A7,0.17451427670426833,313.24223368842985,676.3877705264254
7,A8,0.3922722260090574,1392.1352573678319,1862.6744374063285
8,A1,0.5850377614816712,8930.68140874168,8999.249816021951
8,A2,0.616409336635924,5958.415528289112,6565.941124939517
8,A3,0.5933886472370045,1020.6135433892774,5451.505438641869
8,A4,0.6215545616554821,13072.023788474668,7729.365998572511
8,A5,0.151641346101655,534.7286237678327,812.9607788989869
8,A6,0.5014118005843544,4832.610561857039,3950.0385379823697
8,A7,0.1756839542777011,311.21519551150254,677.640057876817
8,A8,0.39453924536211243,1413.8146741599687,1887.401571257061
9,A1,0.5852862459594115,8893.91416191808,8966.182852596801
9,A2,0.6159325219441271,5916.31593543006,6533.1689488105585
9,A3,0.5967455558715139,1020.056406207995,5511.98511601422
9,A4,0.6254319727405391,13206.254009200922,7793.704157620063
9,A5,0.15015399717512878,532.4723922233795,808.123969288018
9,A6,0.500303026648069,4810.457007417119,3940.296684946545
9,A7,0.17467787914409116,310.8021440297104,677.1705050425061
9,A8,0.39264924977409216,1398.386651525029,1858.0264736335846
10,A1,0.5844526925053917,8887.556440534905,8953.579433088438
10,A2,0.6157847583509523,5943.075226509372,6559.845684179268
10,A3,0.5950607120198766,1017.6301787386464,5472.225668977112
10,A4,0.6234558095100509,13128.663104800253,7750.276987138962
10,A5,0.15269296288067388,534.3427627021898,815.9490107146016
10,A6,0.5006233632094268,4830.9903798522755,3963.9818626051515
10,A7,0.17377858937700122,308.1609324615949,675.7398348740196
10,A8,0.39137789667078654,1391.3110023043319,1850.1315463260157
11,A1,0.58660712008111,8969.841732038172,9041.595032091189
11,A2,0.6143026415671731,5914.967656846347,6530.690082341242
11,A3,0.5949155646793761,1020.3927760164161,5458.739705125514
11,A4,0.6241267134373473,13169.686915335966,7813.509895761354
11,A5,0.15142383359244457,541.0728696324048,813.2025460748835
11,A6,0.5012781699922948,4841.697635075096,3972.833588626085
11,A7,0.17270075819435093,308.5843885130609,668.2938488770527
11,A8,0.3920135349487328,1389.2494258787171,1856.628700438861
12,A1,0.5851270933536651,8932.189396033735,9001.5931338028
12,A2,0.6140288121238207,5923.855994915135,6548.491180660976
12,A3,0.595042147158358,1028.615034793159,5458.904510716942
12,A4,0.6234054597861831,13179.548531857574,7825.572158990626
12,A5,0.1511943564196193,537.7174594574834,809.1513104862258
12,A6,0.50114809742488,4825.176033888276,3955.990490260532
12,A7,0.1746562217899052,311.46312843349983,673.894789626862
12,A8,0.3939567913219608,1404.5246619688278,1869.4926668027258
13,A1,0.585414318204832,8946.54009076836,9015.528960051934
13,A2,0.6159951107557254,5945.759358818864,6552.917841513311
13,A3,0.5959231363705574,1025.639956035262,5480.479002231958
13,A4,0.6237929677253511,13122.55186967642,7756.647869163838
13,A5,0.15112940831754493,533.3981983283105,809.7690746487143
13,A6,0.5014335994835898,4854.909725019357,3987.2321491559533
13,A7,0.17449525129552318,312.4973164543056,675.6799943841137
13,A8,0.3927024893789731,1402.485382911061,1865.5270068621205
14,A1,0.585523789778534,8909.493566535624,8979.697673185061
14,A2,0.6165108028132273,5981.805585111114,6593.701750933401
14,A3,0.5941016245028824,1022.5980394777712,5463.487402644922
14,A4,0.6222425121195305,13126.777707830617,7770.176084497491
14,A5,0.1518458210071406,535.1071346062156,813.1046915866798
14,A6,0.501582206062652,4829.745055590543,3961.09314033235
14,A7,0.17448554459471138,313.41747111594816,675.4271447195239
14,A8,0.3913631944139008,1391.683471355141,1853.9401437235438
15,A1,0.5856519328666263,8968.220332135914,9037.328121685157
15,A2,0.616466825882584,5943.665013044153,6556.001659895189
15,A3,0.5954852119852952,1018.5509850493037,5476.211328567625
15,A4,0.6231416366199909,13165.178807355987,7795.075005435662
15,A5,0.15100049408285918,538.2613916320876,809.6794900358984
15,A6,0.5017863526440913,4850.732369855096,3974.7979751724943
15,A7,0.17365223988162437,309.27220703857654,674.4605618795792
15,A8,0.3919609085456037,1394.136387747025,1864.4633511865413
16,A1,0.5852949105734943,8941.1062679003,9011.844894871994
16,A2,0.6154048476732655,5959.131274128127,6579.443342825176
16,A3,0.5952062633118548,1024.4288915024931,5469.332704495584
16,A4,0.6231728697118142,13178.257772932593,7810.5707000296115
16,A5,0.15109496406874842,536.1327939137153,808.4794639336311
16,A6,0.5013349850779791,4832.654665941674,3965.90601504949
16,A7,0.17315327008871467,305.5739249493708,669.9260346155859
16,A8,0.3923468118646171,1397.999670370785,1859.7821058179854
17,A1,0.5857735880442462,8889.154736981118,8955.562038963953
17,A2,0.6162758563893366,5953.690045980603,6572.726618767193
17,A3,0.5952811490543964,1017.9891537904465,5457.053868786443
