区域,指标,点估计_kt,P2.5_kt,P50_kt,P97.5_kt
A1,生产责任(本地发电),3160.765714945255,3139.249475365019,3170.8075998010627,3204.9413556845825
A1,省外输入碳,5704.319225086211,5710.005224938664,5759.358538062928,5805.539459382177
A1,扩展生产责任P+,8865.084940031466,8872.175839389261,8930.895574379272,8984.87474585302
A1,消费责任(终端),8792.58757478897,8724.320295990727,8763.862033764995,8805.542261585271
A1,区内损耗碳,140.64620141479895,179.42220932413903,234.28733057258506,289.24695929790613
A1,通道损耗碳(送端),1.4590625050715493,0.4110323686843691,1.7148432829158318,3.391995790482907
A1,消费责任全口径C+,8934.69283870884,8942.822115354624,9000.653832393065,9054.922069811339
A1,共担责任(λ=0.5),8899.888889370151,8907.502937511537,8965.560120910628,9019.67431236705
A2,生产责任(本地发电),4159.967728551197,4143.92630199778,4187.617030307274,4234.398708203123
A2,省外输入碳,1755.7948144754764,1745.185847411389,1764.0468804648776,1782.7037671714027
A2,扩展生产责任P+,5915.7625430266735,5905.232188318196,5951.846012063665,6000.9010553582175
A2,消费责任(终端),6411.639530337594,6356.687952804618,6392.087813708191,6427.402937268794
A2,区内损耗碳,105.61987483295913,121.53250010882829,159.96081472438564,201.78102681414344
A2,通道损耗碳(送端),11.391803978689351,5.236425086125901,10.771119791469467,16.882394256591237
A2,消费责任全口径C+,6528.651209149242,6515.140535712396,6562.787021226844,6614.639501693084
A2,共担责任(λ=0.5),6222.206876087957,6210.974148631047,6256.858622173197,6307.861419179647
A3,生产责任(本地发电),1015.8516015468463,1008.3683889421831,1018.1285171376685,1029.3882921288937
A3,省外输入碳,0.0722583561270184,0.37783722563032546,0.9700408439429302,1.7999673026141272
A3,扩展生产责任P+,1015.9238599029733,1009.0888390843297,1019.1962165704522,1030.5143424345426
A3,消费责任(终端),5380.869206952354,5330.730101706856,5356.541844910467,5384.470551908128
A3,区内损耗碳,54.03788697716485,72.55175548286047,103.25042673126103,136.43236126171607
A3,通道损耗碳(送端),0.6963353803032117,0.4701681304023832,0.802703456146582,1.1408801938325592
A3,消费责任全口径C+,5435.603429309822,5427.010216936924,5459.413568217069,5493.639164573779
A3,共担责任(λ=0.5),3225.7636446063975,3219.925862928875,3239.8518326204994,3257.707821274089
A4,生产责任(本地发电),5824.939680983463,5796.195489708249,5854.049269986759,5908.671244872169
A4,省外输入碳,7219.54220705352,7228.391657014957,7289.965488179603,7342.193187043265
A4,扩展生产责任P+,13044.481888036982,13070.410248528342,13145.247752184128,13208.405036538814
A4,消费责任(终端),7450.855906544164,7381.97546293192,7426.862597545833,7468.561990083169
A4,区内损耗碳,158.7958024139739,206.77851275677725,253.09712787782064,300.3204056294476
A4,通道损耗碳(送端),99.30203098332373,97.15935459685022,105.39560415278714,113.0571491023972
A4,消费责任全口径C+,7708.953739941461,7721.146209543754,7785.375869004809,7846.223024527056
A4,共担责任(λ=0.5),10376.717813989222,10396.80185093061,10464.919670330728,10528.76641275166
A5,生产责任(本地发电),535.4239104965363,531.9509441766746,536.9673888220611,542.7249926109203
A5,省外输入碳,0.07844429510548533,0.31428362749179173,0.8136480256378571,1.4432193249381438
A5,扩展生产责任P+,535.5023547916418,532.7075556696864,537.7632052054666,543.7311536414991
A5,消费责任(终端),793.7032433263456,780.6327492717829,789.0865752851128,796.9664243739783
A5,区内损耗碳,14.235857350312447,16.90470670310575,21.962048721731417,27.792184508336845
A5,通道损耗碳(送端),2.8601592001086913,2.047761622584405,2.9048184865134985,3.894465809788125
A5,消费责任全口径C+,810.7992598767668,807.0705574197265,813.8211338511876,822.5993949424279
A5,共担责任(λ=0.5),673.1508073342043,670.2651713138738,675.6601264369565,681.918608240655
A6,生产责任(本地发电),1510.3069626286647,1497.3995355910592,1513.8626941443372,1530.0939802695334
A6,省外输入碳,3296.7631458496444,3295.422668952873,3323.774329198027,3351.076679317542
A6,扩展生产责任P+,4807.070108478309,4807.8638179051195,4837.703099680577,4865.349766391381
A6,消费责任(终端),3822.7729993672037,3794.2708961997405,3814.0328369767285,3831.880933124368
A6,区内损耗碳,89.51679592302554,99.61810226396645,126.48944667724771,152.97659422659382
A6,通道损耗碳(送端),24.425312990908864,24.01505335275587,25.514751577007175,27.256427550606634
A6,消费责任全口径C+,3936.7151082811383,3935.1914136039914,3966.2187952785343,3992.8074637501077
A6,共担责任(λ=0.5),4371.892608379723,4372.71087359714,4401.690362649928,4428.531616123813
A7,生产责任(本地发电),309.17671000331177,305.01032649613194,310.74925720654034,315.74563524717
A7,省外输入碳,0.12290467243398265,0.3672036040878203,0.873184516244015,1.5915907116970855
A7,扩展生产责任P+,309.2996146757458,306.0567990211654,311.52398893991193,316.918223568215
A7,消费责任(终端),665.9695543559027,656.0858526597289,662.0967779151913,668.810455581628
A7,区内损耗碳,8.049570191539582,10.332440120144968,14.179635863177348,18.135639281711143
A7,通道损耗碳(送端),1.835273318247293e-18,-8.365564686982379e-16,9.795409956284815e-18,3.391295941292601e-15
A7,消费责任全口径C+,674.0191245474423,669.941575014878,676.3720290201841,683.0352772483786
A7,共担责任(λ=0.5),491.659369611594,488.2198028930964,494.0180212020009,499.8543977855442
A8,生产责任(本地发电),1390.542222917171,1381.4626021760803,1398.0021918420534,1412.6877843561776
A8,省外输入碳,0.11553557248218549,0.3554704365344901,0.9895626523397332,1.7689153234217496
A8,扩展生产责任P+,1390.6577584896534,1382.4061382252405,1398.9837925829133,1413.6326183191027
A8,消费责任(终端),1815.1654351947482,1796.079999516064,1808.7535477254437,1821.3724708377788
A8,区内损耗碳,27.019200719754267,32.372481345857196,43.133735559010574,55.60999771474625
A8,通道损耗碳(送端),12.163721704232533,11.563667450999231,12.352206919244168,13.097152891457778
A8,消费责任全口径C+,1854.348357618735,1850.0302152386068,1864.292241491059,1880.6238707834927
A8,共担责任(λ=0.5),1622.5030580541943,1617.5338967597625,1631.5404181578353,1647.0472641245342
