区域,年份,净需求_GWh,光伏供电_GWh,碳强度作用电量_GWh,与碳强度无关排放项_kt,消费碳_精确kt,消费碳_kt,区域预算_kt,预算超额_kt,省外输入_GWh,相对预算超额
A1,2026,15750.0,0.0,15750.0,0.0,8764.284375,8764.3,8627.9,136.42,12000.0,0.015811
A1,2027,16537.5,0.0,16537.5,0.0,8669.722359375,8669.7,8361.4,308.35,12000.0,0.036878
A1,2028,17364.4,0.0,17364.375000000004,0.0,8543.79343125,8543.8,8138.4,405.4,12000.0,0.049814
A1,2029,18232.6,0.0,18232.593750000004,0.0,8330.198595468752,8330.2,7861.1,469.08,12000.0,0.059672
A1,2030,19144.2,0.0,19144.223437500004,0.0,8073.88479253125,8073.9,7553.8,520.13,12000.0,0.068858
A2,2026,10972.5,0.0,10972.5,0.0,6413.70604875,6413.7,6264.3,149.36,5500.0,0.023843
A2,2027,11466.3,0.0,11466.262499999997,0.0,6314.293604994374,6314.3,6052.2,262.07,4870.5,0.043301
A2,2028,11982.2,0.0,11982.244312499997,0.0,6192.946286552023,6192.9,5869.9,323.08,5500.0,0.055041
A2,2029,12521.4,0.0,12521.445306562497,0.0,6009.369664486374,6009.4,5646.9,362.49,5500.0,0.064193
A2,2030,13084.9,0.0,13084.91034535781,0.0,5796.730430204548,5796.7,5401.3,395.39,5500.0,0.073201
A3,2026,9468.0,0.0,9467.999999999998,0.0,5357.633489999998,5357.6,5240.4,117.21,5500.0,0.022367
A3,2027,9960.3,87.4,9872.927999999998,3.93336,5267.257919064,5267.3,5077.4,189.81,5500.0,0.037383
A3,2028,10478.3,91.6,10386.697945046906,4.120898712888997,5201.063668725328,5201.1,4941.8,259.24,5500.0,0.052459
A3,2029,11023.1,91.6,10931.568165590905,4.120898712888997,5083.003989423583,5083.0,4774.1,308.92,4385.5,0.064707
A3,2030,11596.3,91.6,11504.77163760319,4.120898712888997,4938.149301388493,4938.1,4588.9,349.27,5500.0,0.076112
A4,2026,12384.0,0.0,12384.0,0.0,7341.117552,7341.1,7354.1,0.0,12662.8,0.0
A4,2027,12786.1,69.0,12717.178,-8.09635,7094.079400696901,7094.1,7075.8,18.32,14000.0,0.002589
A4,2028,13201.0,128.2,13072.762736498293,-16.63034842242309,6835.479156333535,6835.5,6826.6,8.92,14000.0,0.001307
A4,2029,13628.9,128.2,13500.678967410293,-27.830348422423086,6543.1148132995695,6543.1,6525.2,17.89,14000.0,0.002742
A4,2030,14070.3,128.2,13942.100997711477,-39.03034842242309,6224.776404702206,6224.8,6194.2,30.54,14000.0,0.004931
A5,2026,5356.0,0.0,5355.999999999999,0.0,774.2713939999998,774.3,1076.7,0.0,2200.0,0.0
A5,2027,5517.4,0.0,5517.410999999997,-1.0499999999999963,750.3780665236497,750.4,1132.5,0.0,2200.0,0.0
A5,2028,5683.6,0.0,5683.642399999997,-2.0999999999999925,724.3990857667195,724.4,1185.9,0.0,2200.0,0.0
A5,2029,5854.8,0.0,5854.838811999996,-3.1500000000000035,691.7760411771908,691.8,1223.2,0.0,2200.0,0.0
A5,2030,6030.4,0.0,6030.418186359995,-3.1500000000000035,657.5570895012482,657.6,1246.8,0.0,2200.0,0.0
A6,2026,7964.8,0.0,7964.8,0.0,3792.2085408,3792.2,3878.2,0.0,7000.0,0.0
A6,2027,8353.0,0.0,8353.038400000001,-10.8,3736.00632785424,3736.0,3782.8,0.0,7000.0,0.0
A6,2028,8759.6,0.0,8759.6276992,-21.6,3666.1261766394464,3666.1,3705.4,0.0,7000.0,0.0
A6,2029,9185.4,0.0,9185.448740761602,-32.400000000000006,3558.3792959180214,3558.4,3601.4,0.0,7000.0,0.0
A6,2030,9631.4,0.0,9631.424648318158,-43.2,3432.295731775747,3432.3,3481.6,0.0,7000.0,0.0
A7,2026,3936.8,0.0,3936.7999999999993,0.0,653.8198071999999,653.8,856.5,0.0,1700.0,0.0
A7,2027,4078.5,0.0,4078.5247999999983,0.0,638.1418964547198,638.1,894.2,0.0,451.7,0.0
A7,2028,4225.4,0.0,4225.351692799998,0.0,620.4878256656483,620.5,931.6,0.0,1700.0,0.0
A7,2029,4377.5,0.0,4377.464353740797,0.0,596.9092882903536,596.9,957.6,0.0,1700.0,0.0
A7,2030,4535.1,0.0,4535.053070475465,0.0,570.8289440019747,570.8,974.2,0.0,1700.0,0.0
A8,2026,4756.4,0.0,4756.400000000001,0.0,1775.8019400000003,1775.8,1901.9,0.0,2800.0,0.0
A8,2027,4924.0,0.0,4923.977599999999,-10.0,1721.9352611359998,1721.9,1873.6,0.0,2800.0,0.0
A8,2028,5097.1,0.0,5097.053598400001,-20.0,1662.6393339038082,1662.6,1850.5,0.0,2800.0,0.0
A8,2029,5275.8,0.0,5275.8149407456,-30.0,1587.2483119361566,1587.2,1810.5,0.0,2800.0,0.0
A8,2030,5460.0,0.0,5459.972338376894,-39.17646697259791,1505.7773058945277,1505.8,1759.2,0.0,2800.0,0.0
