迭代,试探tau,硬零越限可行,可行下界tau,不可行上界tau
1,1.0,False,0.0,1.0
2,0.5,True,0.5,1.0
3,0.75,True,0.75,1.0
4,0.875,True,0.875,1.0
5,0.9375,True,0.9375,1.0
6,0.96875,False,0.9375,0.96875
7,0.953125,False,0.9375,0.953125
8,0.9453125,True,0.9453125,0.953125
9,0.94921875,True,0.94921875,0.953125
10,0.951171875,True,0.951171875,0.953125
11,0.9521484375,True,0.9521484375,0.953125
12,0.95263671875,True,0.95263671875,0.953125
13,0.952880859375,True,0.952880859375,0.953125
14,0.9530029296875,True,0.9530029296875,0.953125
15,0.95306396484375,False,0.9530029296875,0.95306396484375
